 * Running on http://127.0.0.1:5000/ (Press CTRL+C to quit)
127.0.0.1 - - [24/Sep/2018 19:27:00] "GET /favicon.ico HTTP/1.1" 404 -
127.0.0.1 - - [24/Sep/2018 19:59:57] "GET / HTTP/1.1" 200 -
127.0.0.1 - - [24/Sep/2018 19:59:57] "GET /apple-touch-icon-120x120-precomposed.png HTTP/1.1" 404 -
127.0.0.1 - - [24/Sep/2018 19:59:58] "GET /apple-touch-icon-120x120.png HTTP/1.1" 404 -
127.0.0.1 - - [24/Sep/2018 19:59:58] "GET /apple-touch-icon-precomposed.png HTTP/1.1" 404 -
127.0.0.1 - - [24/Sep/2018 19:59:58] "GET /apple-touch-icon.png HTTP/1.1" 404 -
127.0.0.1 - - [24/Sep/2018 19:59:58] "GET /favicon.ico HTTP/1.1" 404 -
127.0.0.1 - - [24/Sep/2018 19:59:58] "GET /apple-touch-icon-120x120-precomposed.png HTTP/1.1" 404 -
127.0.0.1 - - [24/Sep/2018 19:59:58] "GET /apple-touch-icon-120x120.png HTTP/1.1" 404 -
127.0.0.1 - - [24/Sep/2018 19:59:58] "GET /apple-touch-icon-precomposed.png HTTP/1.1" 404 -
127.0.0.1 - - [24/Sep/2018 19:59:58] "GET /apple-touch-icon.png HTTP/1.1" 404 -
127.0.0.1 - - [24/Sep/2018 19:59:58] "GET /favicon.ico HTTP/1.1" 404 -
127.0.0.1 - - [24/Sep/2018 20:15:50] "GET / HTTP/1.1" 200 -
127.0.0.1 - - [24/Sep/2018 20:15:50] "GET /apple-touch-icon-120x120-precomposed.png HTTP/1.1" 404 -
127.0.0.1 - - [24/Sep/2018 20:15:51] "GET /apple-touch-icon-120x120.png HTTP/1.1" 404 -
127.0.0.1 - - [24/Sep/2018 20:15:51] "GET /apple-touch-icon-precomposed.png HTTP/1.1" 404 -
127.0.0.1 - - [24/Sep/2018 20:15:51] "GET /apple-touch-icon.png HTTP/1.1" 404 -
127.0.0.1 - - [24/Sep/2018 20:15:51] "GET /favicon.ico HTTP/1.1" 404 -
127.0.0.1 - - [24/Sep/2018 20:15:51] "GET /apple-touch-icon-120x120-precomposed.png HTTP/1.1" 404 -
127.0.0.1 - - [24/Sep/2018 20:15:51] "GET /apple-touch-icon-120x120.png HTTP/1.1" 404 -
127.0.0.1 - - [24/Sep/2018 20:15:51] "GET /apple-touch-icon-precomposed.png HTTP/1.1" 404 -
127.0.0.1 - - [24/Sep/2018 20:15:51] "GET /apple-touch-icon.png HTTP/1.1" 404 -
127.0.0.1 - - [24/Sep/2018 20:15:51] "GET /favicon.ico HTTP/1.1" 404 -
127.0.0.1 - - [25/Sep/2018 21:19:25] "GET / HTTP/1.1" 200 -
127.0.0.1 - - [25/Sep/2018 21:19:25] "GET /apple-touch-icon-120x120-precomposed.png HTTP/1.1" 404 -
127.0.0.1 - - [25/Sep/2018 21:19:25] "GET /apple-touch-icon-120x120.png HTTP/1.1" 404 -
127.0.0.1 - - [25/Sep/2018 21:19:25] "GET /apple-touch-icon-precomposed.png HTTP/1.1" 404 -
127.0.0.1 - - [25/Sep/2018 21:19:25] "GET /apple-touch-icon.png HTTP/1.1" 404 -
127.0.0.1 - - [25/Sep/2018 21:19:25] "GET /favicon.ico HTTP/1.1" 404 -
127.0.0.1 - - [25/Sep/2018 21:19:25] "GET /apple-touch-icon-120x120-precomposed.png HTTP/1.1" 404 -
127.0.0.1 - - [25/Sep/2018 21:19:25] "GET /apple-touch-icon-120x120.png HTTP/1.1" 404 -
127.0.0.1 - - [25/Sep/2018 21:19:25] "GET /apple-touch-icon-precomposed.png HTTP/1.1" 404 -
127.0.0.1 - - [25/Sep/2018 21:19:25] "GET /apple-touch-icon.png HTTP/1.1" 404 -
127.0.0.1 - - [25/Sep/2018 21:19:26] "GET /favicon.ico HTTP/1.1" 404 -
127.0.0.1 - - [25/Sep/2018 21:31:46] "GET / HTTP/1.1" 200 -
127.0.0.1 - - [25/Sep/2018 21:31:46] "GET /apple-touch-icon-120x120-precomposed.png HTTP/1.1" 404 -
127.0.0.1 - - [25/Sep/2018 21:31:46] "GET /apple-touch-icon-120x120.png HTTP/1.1" 404 -
127.0.0.1 - - [25/Sep/2018 21:31:46] "GET /apple-touch-icon-precomposed.png HTTP/1.1" 404 -
127.0.0.1 - - [25/Sep/2018 21:31:46] "GET /apple-touch-icon.png HTTP/1.1" 404 -
127.0.0.1 - - [25/Sep/2018 21:31:46] "GET /favicon.ico HTTP/1.1" 404 -
127.0.0.1 - - [25/Sep/2018 21:31:46] "GET /apple-touch-icon-120x120-precomposed.png HTTP/1.1" 404 -
127.0.0.1 - - [25/Sep/2018 21:31:46] "GET /apple-touch-icon-120x120.png HTTP/1.1" 404 -
127.0.0.1 - - [25/Sep/2018 21:31:46] "GET /apple-touch-icon-precomposed.png HTTP/1.1" 404 -
127.0.0.1 - - [25/Sep/2018 21:31:47] "GET /apple-touch-icon.png HTTP/1.1" 404 -
127.0.0.1 - - [25/Sep/2018 21:31:47] "GET /favicon.ico HTTP/1.1" 404 -
127.0.0.1 - - [26/Sep/2018 08:48:55] "GET / HTTP/1.1" 200 -
127.0.0.1 - - [26/Sep/2018 08:48:56] "GET /apple-touch-icon-120x120-precomposed.png HTTP/1.1" 404 -
127.0.0.1 - - [26/Sep/2018 08:48:56] "GET /apple-touch-icon-120x120.png HTTP/1.1" 404 -
127.0.0.1 - - [26/Sep/2018 08:48:56] "GET /apple-touch-icon-precomposed.png HTTP/1.1" 404 -
127.0.0.1 - - [26/Sep/2018 08:48:56] "GET /apple-touch-icon.png HTTP/1.1" 404 -
127.0.0.1 - - [26/Sep/2018 08:48:56] "GET /favicon.ico HTTP/1.1" 404 -
127.0.0.1 - - [26/Sep/2018 08:48:56] "GET /apple-touch-icon-120x120-precomposed.png HTTP/1.1" 404 -
127.0.0.1 - - [26/Sep/2018 08:48:56] "GET /apple-touch-icon-120x120.png HTTP/1.1" 404 -
127.0.0.1 - - [26/Sep/2018 08:48:56] "GET /apple-touch-icon-precomposed.png HTTP/1.1" 404 -
127.0.0.1 - - [26/Sep/2018 08:48:57] "GET /apple-touch-icon.png HTTP/1.1" 404 -
127.0.0.1 - - [26/Sep/2018 08:48:57] "GET /favicon.ico HTTP/1.1" 404 -
127.0.0.1 - - [27/Sep/2018 18:18:51] "GET / HTTP/1.1" 200 -
127.0.0.1 - - [27/Sep/2018 18:18:51] "GET /apple-touch-icon-120x120-precomposed.png HTTP/1.1" 404 -
127.0.0.1 - - [27/Sep/2018 18:18:51] "GET /apple-touch-icon-120x120.png HTTP/1.1" 404 -
127.0.0.1 - - [27/Sep/2018 18:18:52] "GET /apple-touch-icon-precomposed.png HTTP/1.1" 404 -
127.0.0.1 - - [27/Sep/2018 18:18:52] "GET /apple-touch-icon.png HTTP/1.1" 404 -
127.0.0.1 - - [27/Sep/2018 18:18:52] "GET /favicon.ico HTTP/1.1" 404 -
127.0.0.1 - - [27/Sep/2018 18:18:52] "GET /apple-touch-icon-120x120-precomposed.png HTTP/1.1" 404 -
127.0.0.1 - - [27/Sep/2018 18:18:52] "GET /apple-touch-icon-120x120.png HTTP/1.1" 404 -
127.0.0.1 - - [27/Sep/2018 18:18:52] "GET /apple-touch-icon-precomposed.png HTTP/1.1" 404 -
127.0.0.1 - - [27/Sep/2018 18:18:52] "GET /apple-touch-icon.png HTTP/1.1" 404 -
127.0.0.1 - - [27/Sep/2018 18:18:52] "GET /favicon.ico HTTP/1.1" 404 -
127.0.0.1 - - [30/Sep/2018 04:45:27] "GET / HTTP/1.1" 200 -
127.0.0.1 - - [30/Sep/2018 04:45:29] "GET /apple-touch-icon-120x120-precomposed.png HTTP/1.1" 404 -
127.0.0.1 - - [30/Sep/2018 04:45:29] "GET /apple-touch-icon-120x120.png HTTP/1.1" 404 -
127.0.0.1 - - [30/Sep/2018 04:45:29] "GET /apple-touch-icon-precomposed.png HTTP/1.1" 404 -
127.0.0.1 - - [30/Sep/2018 04:45:29] "GET /apple-touch-icon.png HTTP/1.1" 404 -
